station_id,station_name,lat,lon,parameter,last_value,last_updated
59,Nisekh,47.863943,106.779094,so2,6.0,2019-03-13T22:30:00Z
60,Haringey Roadside - UKA00260,51.59929999967941,-0.06821799979396657,pm25,10.0,2016-02-09T20:00:00Z
60,Haringey Roadside - UKA00260,51.59929999967941,-0.06821799979396657,no2,19.5075,2026-06-22T10:00:00Z
61,Coya Población,-34.203524,-70.529854,so2,14.5,2026-06-22T10:00:00Z
63,Philippine-Stelleweg,51.29449999999999,3.7494799999999997,no2,13.49,2026-06-22T10:00:00Z
63,Philippine-Stelleweg,51.29449999999999,3.7494799999999997,o3,65.19,2026-06-22T10:00:00Z
63,Philippine-Stelleweg,51.29449999999999,3.7494799999999997,so2,1.88,2026-06-22T10:00:00Z
63,Philippine-Stelleweg,51.29449999999999,3.7494799999999997,pm10,10.83,2026-06-22T10:00:00Z
63,Philippine-Stelleweg,51.29449999999999,3.7494799999999997,no,3.53,2026-06-22T10:00:00Z
65,Punteras,-36.923329602986,-73.036132300941,pm10,41.0,2026-06-22T09:00:00Z
65,Punteras,-36.923329602986,-73.036132300941,pm25,35.0,2026-06-22T09:00:00Z
65,Punteras,-36.923329602986,-73.036132300941,no2,12.82,2021-08-20T21:00:00Z
65,Punteras,-36.923329602986,-73.036132300941,so2,11.94,2026-06-22T10:00:00Z
65,Punteras,-36.923329602986,-73.036132300941,o3,0.0,2017-06-28T16:00:00Z
65,Punteras,-36.923329602986,-73.036132300941,co,0.0,2017-06-28T16:00:00Z
67,Ventanas,-32.77898790221,-71.373031276855,pm25,22.36,2018-08-29T18:00:00Z
67,Ventanas,-32.77898790221,-71.373031276855,no2,13.77,2018-08-29T17:00:00Z
67,Ventanas,-32.77898790221,-71.373031276855,so2,8.9,2018-08-29T17:00:00Z
67,Ventanas,-32.77898790221,-71.373031276855,o3,43.24,2018-08-29T17:00:00Z
67,Ventanas,-32.77898790221,-71.373031276855,co,0.0,2017-06-28T15:00:00Z
67,Ventanas,-32.77898790221,-71.373031276855,pm10,29.86,2018-08-29T17:00:00Z
68,Cerro Merquín,-37.021182877699,-73.149555550926,pm10,37.0,2026-06-22T09:00:00Z
68,Cerro Merquín,-37.021182877699,-73.149555550926,pm25,26.0,2026-06-22T09:00:00Z
68,Cerro Merquín,-37.021182877699,-73.149555550926,so2,4.97,2016-10-28T12:00:00Z
69,Kingston College,-36.784653741124,-73.052063025795,o3,37.88,2021-08-20T19:00:00Z
69,Kingston College,-36.784653741124,-73.052063025795,co,820.98,2021-08-20T19:00:00Z
69,Kingston College,-36.784653741124,-73.052063025795,so2,14.48,2026-06-22T10:00:00Z
69,Kingston College,-36.784653741124,-73.052063025795,pm10,30.0,2026-06-22T09:00:00Z
69,Kingston College,-36.784653741124,-73.052063025795,pm25,26.0,2026-06-22T09:00:00Z
71,Biest Houtakker-Biestsestraat,51.5184,5.14845,o3,83.44,2026-06-22T10:00:00Z
71,Biest Houtakker-Biestsestraat,51.5184,5.14845,no2,5.45,2026-06-22T10:00:00Z
71,Biest Houtakker-Biestsestraat,51.5184,5.14845,pm25,4.96522,2026-06-22T10:00:00Z
71,Biest Houtakker-Biestsestraat,51.5184,5.14845,pm10,14.67,2026-06-22T10:00:00Z
71,Biest Houtakker-Biestsestraat,51.5184,5.14845,no,0.61,2026-06-22T10:00:00Z
72,Curicó,-34.974925077541,-71.233967512329,pm10,79.0,2026-06-22T09:00:00Z
72,Curicó,-34.974925077541,-71.233967512329,pm25,78.0,2026-06-22T09:00:00Z
73,Coyhaique II,-45.579045667164,-72.049964505825,pm25,58.0,2026-06-22T09:00:00Z
73,Coyhaique II,-45.579045667164,-72.049964505825,so2,14.8,2026-06-22T10:00:00Z
73,Coyhaique II,-45.579045667164,-72.049964505825,co,974.16,2021-08-20T21:00:00Z
73,Coyhaique II,-45.579045667164,-72.049964505825,o3,23.29,2021-08-20T21:00:00Z
73,Coyhaique II,-45.579045667164,-72.049964505825,pm10,58.0,2026-06-22T09:00:00Z
73,Coyhaique II,-45.579045667164,-72.049964505825,no2,94.65,2018-04-13T14:00:00Z
76,De Zilk-Vogelaarsdreef,52.296600000000005,4.51082,no2,5.77,2026-06-22T10:00:00Z
76,De Zilk-Vogelaarsdreef,52.296600000000005,4.51082,so2,0.76,2026-06-22T10:00:00Z
76,De Zilk-Vogelaarsdreef,52.296600000000005,4.51082,o3,74.1,2026-06-22T10:00:00Z
76,De Zilk-Vogelaarsdreef,52.296600000000005,4.51082,pm10,-998.0,2026-06-22T10:00:00Z
76,De Zilk-Vogelaarsdreef,52.296600000000005,4.51082,pm25,2.61126,2026-06-22T10:00:00Z
76,De Zilk-Vogelaarsdreef,52.296600000000005,4.51082,no,1.11,2026-06-22T10:00:00Z
77,Hoek v. Holland-Berghaven,51.97783000007194,4.121903000365913,pm10,14.5,2026-06-20T22:00:00Z
77,Hoek v. Holland-Berghaven,51.97783000007194,4.121903000365913,so2,0.9,2026-06-20T23:00:00Z
77,Hoek v. Holland-Berghaven,51.97783000007194,4.121903000365913,pm25,8.9,2026-06-20T23:00:00Z
77,Hoek v. Holland-Berghaven,51.97783000007194,4.121903000365913,o3,57.2,2024-09-10T22:00:00Z
77,Hoek v. Holland-Berghaven,51.97783000007194,4.121903000365913,no2,36.3,2026-06-20T23:00:00Z
77,Hoek v. Holland-Berghaven,51.97783000007194,4.121903000365913,no,-999.0,2024-03-25T22:00:00Z
