name,state,lat,lon,population
Gopalpur,West Bengal,22.61845,88.75119,6890
Mel Pattambakkam,Tamil Nadu,11.78816,79.6284,6887
Bambolim,Goa,15.46361,73.8531,6885
Ghoh,Punjab,32.32989,75.67484,6883
Sanuru,Karnataka,13.17474,74.99173,6881
Chinnamanali,Tamil Nadu,11.39428,78.08411,6878
Gheora,Delhi,28.69408,77.00156,6876
Padmabil,Assam,26.43633,89.96344,6874
Asan Khurd,Haryana,29.40445,76.87323,6873
Khaliapali,Odisha,21.36397,83.61641,6865
Hat Saraiya,Bihar,26.7946,84.48534,6863
Katra,Uttar Pradesh,27.50871,82.02636,6853
Queula,Goa,15.39011,73.98557,6852
Gunghasa,Jharkhand,23.8618,86.17772,6845
Charhi,Jharkhand,23.85384,85.44529,6842
Anwaram,Telangana,17.63297,78.37953,6840
Manjalumoodu,Tamil Nadu,8.37451,77.22221,6840
Khuda Alisher,Chandigarh,30.77474,76.81176,6831
Baddowal,Punjab,30.86113,75.7469,6825
Bhat,Gujarat,23.10291,72.63603,6823
Bahbari Gaon,Assam,27.48055,95.32627,6821
Pipri,Madhya Pradesh,22.06326,75.40086,6821
Majhauli Khetal,Bihar,26.11016,85.36642,6820
Soanpeta,Telangana,18.96995,78.35627,6820
Paloor,Tamil Nadu,8.24268,77.23645,6818
Todi,Rajasthan,25.11226,74.26051,6816
Elayirampannai,Tamil Nadu,9.27033,77.82494,6814
Harekala,Karnataka,12.84255,74.91528,6814
Murakambattu,Andhra Pradesh,13.24631,79.11874,6812
Moragudi,Andhra Pradesh,14.86259,78.37878,6812
Varamballi,Karnataka,13.36401,74.76262,6809
Choozhal,Tamil Nadu,8.31008,77.12803,6807
Rudravati,Tamil Nadu,10.87434,77.4103,6807
Jabera,Madhya Pradesh,23.55819,79.67802,6806
Kotba,Chhattisgarh,22.43943,83.73999,6805
Cholapuram,Tamil Nadu,11.0542,79.41257,6803
Vilholi,Maharashtra,19.92328,73.71726,6798
Khamari,Maharashtra,21.42684,80.2345,6794
Nerinjippettai,Tamil Nadu,11.65433,77.75862,6791
Kevadiya,Gujarat,21.8856,73.70225,6788
Badhni Kalan,Punjab,30.6813,75.29087,6786
Chandan Hola,Delhi,28.46852,77.18314,6780
Sahnidih,Jharkhand,23.7819,86.25065,6777
Antagarh,Chhattisgarh,20.09256,81.1586,6777
Dumra,Jharkhand,23.796,86.21363,6772
Rosera,Madhya Pradesh,22.94206,79.21482,6770
Koira,Odisha,21.90494,85.24208,6763
Kaladhungi,Uttarakhand,29.28351,79.351,6763
Osmania University,Telangana,17.41286,78.52633,6762
Morjim,Goa,15.63097,73.73903,6760
Lohaghat,Uttarakhand,29.40356,80.08965,6758
Mandai,Madhya Pradesh,23.21912,79.98546,6743
Surankot,Jammu and Kashmir,33.62708,74.27468,6743
Pedda bhogili,Andhra Pradesh,18.6612,83.3784,6733
Eyyal,Kerala,10.65545,76.11736,6727
Kottapuram,Kerala,10.68015,76.19389,6727
Itaunja,Uttar Pradesh,27.08347,80.89672,6726
Selamba,Gujarat,21.51786,73.82152,6717
Sapotra,Rajasthan,26.2928,76.7522,6716
Waghai,Gujarat,20.77048,73.50074,6715
Kantabamsuguda,Andhra Pradesh,18.32264,82.88259,6714
